X,Y,Theta
-45,0,-0.37408545112670366
-44.62826474432761,-0.14768291854722937,-0.39026433111261444
-44.25896042676149,-0.30134398667641826,-0.40625022463842625
-43.89215160396442,-0.46087064272192424,-0.4220237635328854
-43.527895536518656,-0.6261433041261686,-0.4375659913648772
-43.1662418881759,-0.7970358070004414,-0.452858239483075
-42.8072126391117,-0.9733758730227826,-0.4676639850828222
-42.450819776852995,-1.154985443107892,-0.4821744849664212
-42.09708462546882,-1.3417190553797829,-0.49610512033040205
-41.74596932924824,-1.5333336140724951,-0.5096959941452497
-41.39744481386448,-1.7296216681264553,-0.522642829443087
-41.05147105466192,-1.9303717491077634,-0.5348874400640006
-40.70792759229015,-2.1352536086137124,-0.5464032734825921
-40.366742845004104,-2.344039995560099,-0.5571291051216263
-40.02775507310352,-2.556375391375441,-0.566677028307379
-39.690743973255294,-2.7718348406887383,-0.575356530817238
-39.35558547766476,-2.9901651649847287,-0.5830973806335057
-39.02205175315626,-3.210970064183525,-0.589460835342273
-38.689850011603504,-3.4337742908651188,-0.5943763045375169
-38.358662987670094,-3.658084371024593,-0.5977689927949893
-38.028149670034814,-3.883386165078897,-0.5995596075399112
-37.69794629990262,-4.109142076339955,-0.5996643687854711
-37.36761956720437,-4.334717356105398,-0.5971465542487976
-37.036624081206035,-4.559309959158399,-0.5927919435277227
-36.70454787090879,-4.782301115397318,-0.5865143643859386
-36.2033451550979,-5.112135685740963,-0.5720754144119359
-35.866404142955695,-5.32770328690516,-0.5598720396746105
-35.52670525337671,-5.538896419966913,-0.5447722150497661
-35.18374899455497,-5.744756140226389,-0.5275709418041462
-34.83719792975755,-5.944503056997459,-0.5079236412716394
-34.48665894011296,-6.137162824387408,-0.4859046072154181
-34.13187234958484,-6.321881395595565,-0.4619153437143913
-33.77267361545497,-6.49786379860584,-0.4360292759478301
-33.40896531350421,-6.66432354213335,-0.40834517160483147
-33.0407230225416,-6.820494056937151,-0.3789852954807875
-32.66799899783085,-6.965640470749063,-0.34809234225114866
-32.29092333241099,-7.099071120715655,-0.31582542974730865
-31.909702506576462,-7.22014822692816,-0.28235552016502974
-31.52461543135129,-7.328297228307947,-0.24786065865533108
-31.136007271966417,-7.423014402362442,-0.21252138346624108
-30.744281470714604,-7.503872532818159,-0.17651658640914134
-30.349890465047363,-7.570524533612744,-0.14002000830408856
-29.95332561726105,-7.622705067716772,-0.1031974604569263
-29.55510499374813,-7.660208482355026,-0.06597673934842825
-29.155764152620215,-7.682857837187927,-0.02869788030121136
-28.75585666576848,-7.6906127314849435,0.00849977349054333
-28.355936938018942,-7.68350782402346,0.04548986977531512
-27.956551648582845,-7.661647445765854,0.08236726652554778
-27.558244088484976,-7.625074817345872,0.11903536460676106
-26.96394204248959,-7.543058742596921,0.17305646267627778
